district,neighbourhood,latitude,longitude
Arganzuela,Acacias,40.40097,-3.70109
Arganzuela,Atocha,40.40152,-3.68443
Arganzuela,Chopera,40.39445,-3.69626
Arganzuela,Delicias,40.39848,-3.69692
Arganzuela,Imperial,40.41327,-3.71866
Arganzuela,Legazpi,40.38999,-3.69111
Arganzuela,Palos de Moguer,40.40613,-3.69695
Barajas,Aeropuerto,40.498534,-3.544844145
Barajas,Alameda de Osuna,40.45771,-3.58661
Barajas,Casco Histórico de Barajas,40.47279,-3.57917
Barajas,Corralejos,40.46463,-3.59633
Barajas,Timón,40.47557,-3.58331
Carabanchel,Abrantes,40.37604,-3.73305
Carabanchel,Buenavista,40.36127,-3.7605
Carabanchel,Carabanchel,40.387282,-3.7503787
Carabanchel,Comillas,40.39587,-3.71356
Carabanchel,Opañel,40.39431,-3.7204
Carabanchel,Pau de Carabanchel,40.3729752,-3.7397766
Carabanchel,Puerta Bonita,40.38077,-3.73497
Carabanchel,San Isidro,40.39936,-3.73334
Carabanchel,Vista Alegre,40.3886,-3.7378
Centro,Centro,40.4179105,-3.7041195
Centro,Cortes,40.41204,-3.6975
Centro,Embajadores,40.40892,-3.69697
Centro,Justicia,40.42389,-3.6977
Centro,Palacio,40.41163,-3.70822
Centro,Sol,40.4156,-3.70415
Centro,Universidad,40.4257,-3.70383
Chamartín,Castilla,40.47734,-3.68417
Chamartín,Chamartín,40.4721165,-3.6849033
Chamartín,Ciudad Jardín,40.44815,-3.67417
Chamartín,El Viso,40.44397,-3.68932
Chamartín,Hispanoamérica,40.45446,-3.66849
Chamartín,Nueva España,40.46375,-3.68034
Chamartín,Prosperidad,40.44317,-3.67298
Chamberí,Almagro,40.43616,-3.69833
Chamberí,Arapiles,40.43187,-3.71149
Chamberí,Chamberí,40.4354064,-3.7038284
Chamberí,Gaztambide,40.43344,-3.7146
Chamberí,Rios Rosas,40.44039,-3.69812
Chamberí,Trafalgar,40.42951,-3.7019
Chamberí,Vallehermoso,40.44279,-3.71603
Ciudad Lineal,Atalaya,40.46349,-3.66654
Ciudad Lineal,Colina,40.45694,-3.65955
Ciudad Lineal,Concepción,40.43713,-3.65338
Ciudad Lineal,Costillares,40.47655,-3.67078
Ciudad Lineal,Pueblo Nuevo,40.41636,-3.62498
Ciudad Lineal,Quintana,40.43667,-3.64571
Ciudad Lineal,San Juan Bautista,40.45393,-3.65571
Ciudad Lineal,San Pascual,40.44379,-3.64932
Ciudad Lineal,Ventas,40.42739,-3.65618
Fuencarral - El Pardo,Arroyo del Fresno,40.4911067,-3.7272431
Fuencarral - El Pardo,El Goloso,40.51002,-3.69049
Fuencarral - El Pardo,El Pardo,40.57045,-3.89207
Fuencarral - El Pardo,Fuencarral,40.4951261,-3.6942933
Fuencarral - El Pardo,Fuentelareina,40.48143,-3.73757
Fuencarral - El Pardo,La Paz,40.48486,-3.70343
Fuencarral - El Pardo,Las Tablas,40.50613,-3.67381
Fuencarral - El Pardo,Mirasierra,40.487,-3.72192
Fuencarral - El Pardo,Montecarmelo,40.50995,-3.70727
Fuencarral - El Pardo,Peñagrande,40.47972,-3.73216
Fuencarral - El Pardo,Pilar,40.4774,-3.71046
Fuencarral - El Pardo,Valverde,40.49223,-3.69226
Hortaleza,Apostol Santiago,40.48243,-3.65833
Hortaleza,Canillas,40.46211,-3.64909
Hortaleza,Hortaleza,40.478245,-3.6379492
Hortaleza,Palomas,40.4534,-3.61353
Hortaleza,Pinar del Rey,40.47734,-3.65076
Hortaleza,Piovera,40.46034,-3.63108
Hortaleza,Sanchinarro,40.4870151,-3.6598459
Hortaleza,Valdefuentes,40.48556,-3.66573
Hortaleza,Manoteras,40.4880246,-3.6674881
Latina,Aguilas,40.37881,-3.7819
Latina,Aluche,40.39577,-3.75985
Latina,Cármenes,40.40466,-3.72329
Latina,Campamento,40.39786,-3.76865
Latina,Cuatro Vientos,40.36889,-3.76404
Latina,Latina,40.4018555,-3.7501605
Latina,Lucero,40.40182,-3.75334
Latina,Puerta del Angel,40.41203,-3.72582
Moncloa - Aravaca,Aravaca,40.46082,-3.78209
Moncloa - Aravaca,Argüelles,40.43178,-3.71738
Moncloa - Aravaca,Casa de Campo,40.42596,-3.7308
Moncloa - Aravaca,Ciudad Universitaria,40.44739,-3.71322
Moncloa - Aravaca,El Plantío,40.4739,-3.83562
Moncloa - Aravaca,Valdemarín,40.46468,-3.76699
Moncloa - Aravaca,Valdezarza,40.46149,-3.71102
Moratalaz,Fontarrón,40.40131,-3.64457
Moratalaz,Horcajo,40.40611,-3.6301
Moratalaz,Marroquina,40.41022,-3.65048
Moratalaz,Media Legua,40.40929,-3.65965
Moratalaz,Pavones,40.39647,-3.6345
Moratalaz,Vinateros,40.40487,-3.64915
Puente de Vallecas,Entrevías,40.379,-3.67423
Puente de Vallecas,Numancia,40.39786,-3.66776
Puente de Vallecas,Palomeras Bajas,40.37921,-3.65801
Puente de Vallecas,Palomeras Sureste,40.38165,-3.65033
Puente de Vallecas,Portazgo,40.39099,-3.64491
Puente de Vallecas,Puente de Vallecas,40.3835243,-3.6732385
Puente de Vallecas,San Diego,40.38781,-3.66736
Retiro,Adelfas,40.40521,-3.67048
Retiro,Estrella,40.41787,-3.6677
Retiro,Ibiza,40.41999,-3.67493
Retiro,Jerónimos,40.41835,-3.68955
Retiro,Niño Jesús,40.41105,-3.67424
Retiro,Pacífico,40.4055,-3.68536
Retiro,Retiro,40.4148827,-3.6829487
Salamanca,Castellana,40.4305,-3.68672
Salamanca,Fuente del Berro,40.42639,-3.66674
Salamanca,Goya,40.42585,-3.67674
Salamanca,Guindalera,40.43058,-3.66618
Salamanca,Lista,40.43374,-3.67797
Salamanca,Recoletos,40.42818,-3.68229
Salamanca,Salamanca,40.4266472,-3.6852427
San Blas - Canillejas,Amposta,40.4268,-3.62007
San Blas - Canillejas,Arcos,40.42543752,-3.620180432
San Blas - Canillejas,Canillejas,40.43796,-3.60738
San Blas - Canillejas,Hellín,40.43012,-3.61753
San Blas - Canillejas,Rejas,40.44614,-3.5872
San Blas - Canillejas,Rosas,40.42227,-3.60449
San Blas - Canillejas,Salvador,40.44121,-3.63667
San Blas - Canillejas,Simancas,40.43036,-3.62729
Tetuán,Almenara,40.47077,-3.70091
Tetuán,Bellas Vistas,40.45227,-3.70346
Tetuán,Berruguete,40.45774,-3.70133
Tetuán,Castillejos,40.46109,-3.69736
Tetuán,Cuatro Caminos,40.45548,-3.69485
Tetuán,Tetuán,40.4608033,-3.6981049
Tetuán,Valdeacederas,40.47147,-3.70293
Usera,Almendrales,40.38303,-3.70265
Usera,Moscardó,40.39022,-3.70702
Usera,Orcasitas,40.36624,-3.71783
Usera,Orcasur,40.36987,-3.6999
Usera,Pradolongo,40.38206,-3.7077
Usera,San Fermín,40.36851,-3.69182
Usera,Usera,40.3825611,-3.710272
Usera,Zofío,40.38151,-3.71476
Vicálvaro,Ambroz,40.40378,-3.59328
Vicálvaro,El CaĖaveral,40.4012965,-3.5705848
Vicálvaro,Valdebernardo,40.3963069,-3.6256452
Vicálvaro,Vicálvaro,40.4013974,-3.596114
Vicálvaro,Casco Histórico de Vicálvaro,40.3817,-3.58557
Villa de Vallecas,Casco Histórico de Vallecas,40.37057,-3.61511
Villa de Vallecas,Santa Eugenia,40.38207,-3.60721
Villa de Vallecas,Villa de Vallecas,40.3796883,-3.6257599
Villa de Vallecas,Valdecarros,40.374217,-3.6309669
Villaverde,Butarque,40.34322,-3.68351
Villaverde,Los Angeles,40.35773,-3.69558
Villaverde,Los Rosales,40.35892,-3.69022
Villaverde,San Andrés,40.34322,-3.69311
Villaverde,San Cristobal,40.34326,-3.6875
Villaverde,Villaverde,40.3454057,-3.7089009